run_tag,scalar,lookback,delta_min,delta_max,split,task,raw_rmse,raw_plus_rydberg_rmse,delta_rmse,raw_corr,raw_plus_rydberg_corr,delta_corr,raw_precision,raw_plus_rydberg_precision,delta_precision,raw_recall,raw_plus_rydberg_recall,delta_recall,raw_f1,raw_plus_rydberg_f1,delta_f1,raw_average_precision,raw_plus_rydberg_average_precision,delta_average_precision,raw_roc_auc,raw_plus_rydberg_roc_auc,delta_roc_auc,rydberg_only_rmse,rydberg_only_corr,rydberg_only_f1,rydberg_only_average_precision,rydberg_only_roc_auc
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,test,q90_warning,,,,,,,0.4529411764705882,0.4444444444444444,-0.00849673202614376,0.5923076923076923,0.5846153846153846,-0.007692307692307665,0.5133333333333333,0.5049833887043189,-0.008349944629014394,0.5287641430658557,0.548433001069208,0.019668858003352274,0.8381793881793882,0.8515518265518266,0.0133724383724384,,,0.2437275985663082,0.1714204799757008,0.5929313929313929
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,test,q95_crisis,,,,,,,0.4264705882352941,0.3661971830985915,-0.060273405136702596,0.5686274509803921,0.5098039215686274,-0.05882352941176472,0.4873949579831932,0.4262295081967213,-0.061165449786471926,0.5690302280385731,0.5329215315916006,-0.036108696446972455,0.7472786423986634,0.7635276532137519,0.01624901081508856,,,0.2,0.1223273815287381,0.6399015211465752
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,test,regression,0.0971308594749556,0.0962900657972432,-0.0008407936777124064,0.6083992150970652,0.6179692400991283,0.009570025002063165,,,,,,,,,,,,,,,,0.1186963111425466,0.2294967457868482,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,train,q90_warning,,,,,,,0.6029411764705882,0.6047794117647058,0.0018382352941176405,0.6029411764705882,0.6047794117647058,0.0018382352941176405,0.6029411764705882,0.6047794117647058,0.0018382352941176405,0.6654493531104065,0.6913862509540145,0.025936897843607976,0.9137021427540764,0.9367965706315232,0.023094427877446866,,,0.2628676470588235,0.2372332220933978,0.7284834032754558
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,train,q95_crisis,,,,,,,0.5845588235294118,0.5698529411764706,-0.014705882352941235,0.5845588235294118,0.5698529411764706,-0.014705882352941235,0.5845588235294118,0.5698529411764706,-0.014705882352941235,0.6163819481902867,0.6525723680998383,0.03619041990955163,0.9188940971431176,0.9612610778238484,0.04236698068073075,,,0.2647058823529412,0.1987207934216127,0.8325917266596802
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,train,regression,0.0609303295617801,0.0597515975500765,-0.0011787320117035982,0.7901092066103582,0.799415430617521,0.009306224007162744,,,,,,,,,,,,,,,,0.0950767592437389,0.2889692462948481,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,val,q90_warning,,,,,,,0.0526315789473684,0.1666666666666666,0.11403508771929821,0.03125,0.09375,0.0625,0.0392156862745098,0.12,0.08078431372549019,0.0824749892914194,0.0863420628109288,0.0038670735195093925,0.7414973498233215,0.6900121466431095,-0.05148520318021199,,,0.0242424242424242,0.0262226202350807,0.4884330830388692
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,val,q95_crisis,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,val,regression,0.0534271915434915,0.054140904402141,0.000713712858649497,0.5335705690918268,0.5135155420939521,-0.020055026997874648,,,,,,,,,,,,,,,,0.0726605140677182,0.125345457662546,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,test,q90_warning,,,,,,,0.4529411764705882,0.3942857142857143,-0.058655462184873886,0.5923076923076923,0.5307692307692308,-0.06153846153846154,0.5133333333333333,0.4524590163934426,-0.060874316939890705,0.5287641430658557,0.5127873266956563,-0.01597681637019943,0.8381793881793882,0.8563186813186813,0.018139293139293078,,,0.2116040955631399,0.1957659932872857,0.5967478467478468
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,test,q95_crisis,,,,,,,0.4264705882352941,0.4,-0.02647058823529408,0.5686274509803921,0.4705882352941176,-0.09803921568627455,0.4873949579831932,0.4324324324324324,-0.05496252555076081,0.5690302280385731,0.4863082118053906,-0.08272201623318248,0.7472786423986634,0.7277235557900289,-0.019555086608634475,,,0.0454545454545454,0.0404974083628177,0.4470060670007913
