index,origin_date,n_rows,n_leads,leads
FCHI,2007-03-19,1,1,1
FCHI,2007-08-02,1,1,1
FCHI,2007-08-06,2,2,"1,5"
FCHI,2008-02-11,1,1,10
FCHI,2008-02-14,1,1,10
FCHI,2008-03-12,1,1,10
FCHI,2009-08-04,1,1,1
FCHI,2010-02-17,1,1,1
FCHI,2010-03-05,1,1,5
FCHI,2010-05-28,3,3,"1,5,10"
FCHI,2010-06-01,1,1,5
FCHI,2010-06-02,1,1,5
FCHI,2011-11-23,1,1,1
FCHI,2012-02-03,1,1,5
FCHI,2012-10-03,1,1,5
FCHI,2012-10-17,1,1,10
FCHI,2013-02-28,1,1,1
FCHI,2013-03-26,1,1,5
FCHI,2014-11-18,1,1,10
FCHI,2014-11-20,1,1,10
FCHI,2015-01-30,1,1,1
FCHI,2015-06-22,1,1,10
FCHI,2015-06-26,1,1,5
FCHI,2015-07-10,1,1,10
FCHI,2016-03-18,1,1,5
FCHI,2016-03-21,1,1,1
FCHI,2016-03-24,1,1,1
FCHI,2016-07-01,1,1,10
FCHI,2016-07-18,1,1,1
FCHI,2016-11-16,1,1,10
FCHI,2016-11-17,1,1,10
FCHI,2016-11-18,1,1,5
FCHI,2016-11-21,1,1,5
FCHI,2017-03-02,1,1,10
FCHI,2017-03-16,1,1,5
FCHI,2017-07-21,1,1,1
FCHI,2018-06-13,1,1,10
FCHI,2018-09-04,1,1,1
FCHI,2019-06-18,1,1,1
FCHI,2019-09-18,1,1,5
FCHI,2021-03-12,1,1,10
FCHI,2021-03-18,1,1,5
FTSE,2007-02-02,1,1,10
FTSE,2007-02-05,1,1,10
FTSE,2007-03-21,1,1,5
FTSE,2007-07-13,1,1,10
FTSE,2007-07-25,1,1,5
FTSE,2007-08-07,1,1,1
FTSE,2007-09-27,1,1,1
FTSE,2007-09-28,1,1,1
FTSE,2010-01-25,1,1,1
FTSE,2010-10-28,1,1,10
FTSE,2010-12-13,1,1,10
FTSE,2011-01-26,1,1,10
FTSE,2011-03-04,1,1,5
FTSE,2012-02-14,1,1,1
FTSE,2012-03-30,1,1,5
FTSE,2012-04-17,1,1,1
FTSE,2012-10-10,1,1,10
FTSE,2012-11-09,1,1,1
FTSE,2013-02-27,1,1,5
FTSE,2013-03-26,1,1,10
FTSE,2013-04-12,1,1,1
FTSE,2013-04-18,2,2,"1,5"
FTSE,2013-04-24,1,1,5
FTSE,2013-07-23,1,1,10
FTSE,2013-08-09,1,1,10
FTSE,2014-03-12,1,1,1
FTSE,2014-10-13,1,1,1
FTSE,2014-10-29,1,1,5
FTSE,2014-10-31,1,1,1
FTSE,2014-11-04,1,1,5
FTSE,2014-11-10,1,1,10
FTSE,2014-12-11,1,1,5
FTSE,2015-04-21,1,1,5
FTSE,2015-05-01,2,2,"5,10"
FTSE,2018-07-12,1,1,1
FTSE,2018-07-17,1,1,5
FTSE,2018-07-18,1,1,5
FTSE,2018-07-19,1,1,5
FTSE,2019-01-25,1,1,1
FTSE,2020-08-03,1,1,5
FTSE,2020-08-17,1,1,1
FTSE,2020-08-19,1,1,1
FTSE,2020-08-20,1,1,1
FTSE,2021-01-14,1,1,10
FTSE,2021-01-28,1,1,5
FTSE,2021-01-29,1,1,5
FTSE,2021-05-24,1,1,10
FTSE,2021-05-26,1,1,10
FTSE,2021-07-13,1,1,10
FTSE,2021-09-24,1,1,10
FTSE,2021-12-17,1,1,10
FTSE,2022-04-06,1,1,1
GDAXI,2007-03-19,1,1,10
GDAXI,2007-03-20,1,1,10
GDAXI,2007-06-26,1,1,5
GDAXI,2008-05-23,1,1,1
GDAXI,2010-07-27,1,1,10
GDAXI,2010-11-23,2,2,"1,10"
GDAXI,2010-11-30,1,1,1
GDAXI,2012-11-14,1,1,5
GDAXI,2013-04-15,1,1,5
GDAXI,2013-05-24,1,1,10
GDAXI,2014-03-03,1,1,10
GDAXI,2014-08-25,1,1,5
GDAXI,2015-03-17,1,1,1
GDAXI,2015-03-19,1,1,1
GDAXI,2015-04-24,1,1,5
GDAXI,2015-08-11,1,1,1
GDAXI,2015-11-27,1,1,5
GDAXI,2016-01-04,1,1,5
GDAXI,2016-02-02,1,1,1
GDAXI,2016-11-11,1,1,10
GDAXI,2016-12-21,1,1,5
GDAXI,2016-12-22,1,1,5
GDAXI,2017-02-24,1,1,1
GDAXI,2017-07-27,1,1,10
GDAXI,2019-01-18,1,1,5
GDAXI,2020-05-27,1,1,1
GDAXI,2020-06-02,1,1,5
GDAXI,2020-06-08,1,1,1
GDAXI,2020-08-11,1,1,10
