index,market_group,onset_date,effective_start,threshold,train_days,history_start,history_end,pre_onset_level,onset_level,jump_logvol,peak60,peak_gain60,persist60,recovery_days,episode_id,representative_rank
^GSPC_data,united_states,1966-08-18,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-4.592154222802248,-4.321370211775778,0.27078401102646943,-3.776809515935891,0.8153447068663566,41,17.0,GE001,0
^GSPC_data,united_states,1968-04-01,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-4.473899460709948,-4.14320261285997,0.33069684784997744,-3.988493185976631,0.48540627473331677,17,9.0,GE002,0
^GSPC_data,united_states,1968-07-02,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-4.66584113178572,-4.4178720859021645,0.24796904588355506,-4.131643873815449,0.5341972579702707,12,1.0,GE003,0
^GSPC_data,united_states,1969-07-10,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-4.666800553665529,-4.376431135402695,0.29036941826283424,-3.9808158960115354,0.6859846576539934,20,4.0,GE004,0
^GSPC_data,united_states,1970-01-16,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-4.544217530424075,-4.26924375093774,0.27497377948633517,-3.9004781474212926,0.6437393830027824,24,1.0,GE005,0
^GSPC_data,united_states,1970-04-14,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-4.567471242161035,-4.431945829177703,0.13552541298333143,-3.3863339632473433,1.1811372789136914,53,1.0,GE006,0
^GSPC_data,united_states,1973-04-24,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-4.666831924727235,-4.4063369511748585,0.26049497355237694,-3.8205581413633505,0.8462737833638849,36,1.0,GE007,0
^GSPC_data,united_states,1973-09-14,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-4.604506524257779,-4.414244906509789,0.1902616177479901,-3.8582430046885645,0.7462635195692147,52,10.0,GE008,0
^GSPC_data,united_states,1974-04-23,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-4.70333137421281,-4.35417885432223,0.3491525198905796,-3.859036279986701,0.8442950942261085,43,5.0,GE009,0
^GSPC_data,united_states,1975-07-09,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-4.626658978963211,-4.446572445473599,0.1800865334896118,-3.8829392510410154,0.7437197279221954,37,3.0,GE010,0
^GSPC_data,united_states,1976-01-05,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-4.700353464829238,-4.3418203771094985,0.35853308771973946,-4.1361508131980305,0.5642026516312075,29,4.0,GE011,0
^GSPC_data,united_states,1978-10-16,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-4.922011056183964,-4.361258529537534,0.5607525266464295,-3.7029887494694345,1.2190223067145292,18,1.0,GE012,0
^GSPC_data,united_states,1980-01-02,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-4.952023453387436,-4.037115727465406,0.9149077259220295,-3.8712255004440186,1.080797952943417,54,2.0,GE013,0
^GSPTSE_data,canada,1980-02-20,1979-01-01,-4.90810151296278,9153,1979-06-29,2024-06-24,-5.218081860697303,-4.756618707650313,0.46146315304699037,-3.3339075622817327,1.8841742984155707,27,2.0,GE014,0
^GSPC_data,united_states,1981-05-26,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-4.587140043560413,-4.414103996755324,0.17303604680508844,-4.195556496450921,0.3915835471094917,29,7.0,GE015,0
^GSPC_data,united_states,1981-08-24,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-4.517812253413058,-4.079909598560955,0.43790265485210256,-3.5072754764936658,1.010536776919392,45,2.0,GE016,0
^GSPC_data,united_states,1982-01-05,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-4.512315030786987,-4.194514449118508,0.3178005816684797,-3.523227793906343,0.989087236880644,43,2.0,GE017,0
^GSPTSE_data,canada,1982-10-06,1979-01-01,-4.90810151296278,9153,1979-06-29,2024-06-24,-5.635001311418669,-4.365726683643724,1.2692746277749443,-4.045577002791584,1.589424308627085,19,2.0,GE018,0
^AORD_data,australia,1987-10-07,1984-01-01,-4.88487875713249,7917,1984-08-03,2024-06-24,-5.868244323395428,-4.62152790179162,1.2467164216038071,-1.676807854936778,4.191436468458649,43,1.0,GE019,0
^GSPC_data,united_states,1987-10-06,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-5.392591788436029,-4.102241759169032,1.290350029266997,-1.9837417474029753,3.4088500410330536,40,1.0,GE019,0
^GSPTSE_data,canada,1987-10-16,1979-01-01,-4.90810151296278,9153,1979-06-29,2024-06-24,-5.24540114430564,-4.3941763374672105,0.8512248068384292,-2.839544927459576,2.4058562168460638,32,13.0,GE020,0
^FTSE_data,united_kingdom,1987-10-19,1984-01-01,-4.5931790232554315,8079,1984-01-03,2024-06-24,-10.55301157472124,-3.041161483536011,7.511850091185228,-2.5728085796468854,7.980202995074354,33,10.0,GE020,0
