episode_id,start_date,end_date,n_indices,indices,era,split
E001,2007-07-24,2007-07-24,1,SPX,train,train
E002,2007-10-03,2007-10-03,1,HSI,train,train
E003,2008-01-02,2008-01-18,6,"FTSE,GDAXI,HSI,N225,OMXSPI,SPX",train,train
E004,2008-06-26,2008-07-01,2,"KS11,SPX",train,train
E005,2008-08-01,2008-08-01,1,HSI,train,train
E006,2008-08-28,2008-09-05,3,"FCHI,N225,OMXSPI",train,train
E007,2009-01-06,2009-01-08,2,"FCHI,OMXSPI",train,train
E008,2009-05-22,2009-05-22,1,KS11,train,train
E009,2010-04-23,2010-04-23,1,OMXSPI,train,train
E010,2010-05-04,2010-05-04,2,"FTSE,SPX",train,train
E011,2011-07-27,2011-08-02,6,"FCHI,FTSE,GDAXI,KS11,OMXSPI,SPX",train,train
E012,2011-09-22,2011-09-22,1,HSI,train,train
E013,2013-05-16,2013-05-16,1,N225,train,train
E014,2015-08-18,2015-08-24,4,"FTSE,HSI,N225,SPX",train,train
E015,2016-01-04,2016-01-04,1,N225,test,test
E016,2016-01-14,2016-01-14,1,FTSE,test,test
E017,2018-12-04,2018-12-04,1,SPX,test,test
E018,2020-02-24,2020-02-28,7,"FCHI,FTSE,GDAXI,KS11,N225,OMXSPI,SPX",test,test
E019,2020-03-10,2020-03-10,1,HSI,test,test
E020,2020-05-28,2020-05-28,1,KS11,test,test
E021,2020-12-23,2020-12-23,1,KS11,test,test
E022,2021-02-17,2021-02-17,1,HSI,test,test
E023,2021-09-14,2021-09-14,1,HSI,test,test
E024,2022-01-10,2022-01-10,1,SPX,test,test
E025,2022-02-15,2022-02-21,3,"FCHI,GDAXI,OMXSPI",test,test
E026,2022-03-07,2022-03-07,1,HSI,test,test
E027,2022-04-21,2022-04-21,1,SPX,test,test
