index,lead,feature,smd,n_positive,n_negative
FCHI,1,level,-0.07718856099252577,5,15
FCHI,1,mean5,-0.022656022985788067,5,15
FCHI,1,mean20,-0.06888997493092439,5,15
FCHI,1,slope5,0.07645011264393893,5,15
FCHI,1,slope20,-0.3057205913866537,5,15
FCHI,1,std20,0.24477408152742922,5,15
FCHI,1,max20,-0.211577721393802,5,15
FCHI,5,level,0.04889919922487453,5,15
FCHI,5,mean5,0.04129970640204588,5,15
FCHI,5,mean20,0.11801789290422691,5,15
FCHI,5,slope5,-0.07709164003580658,5,15
FCHI,5,slope20,-0.02321018419582353,5,15
FCHI,5,std20,-0.061035941629407606,5,15
FCHI,5,max20,-0.12476191071790696,5,15
FCHI,10,level,0.04604514563642054,5,15
FCHI,10,mean5,0.08605273375740853,5,15
FCHI,10,mean20,0.0934143190059828,5,15
FCHI,10,slope5,-0.40108524516195626,5,15
FCHI,10,slope20,0.0031825577917671296,5,15
FCHI,10,std20,0.027227111682172376,5,15
FCHI,10,max20,-0.0891125055159248,5,15
FTSE,1,level,-0.018193047207864885,6,18
FTSE,1,mean5,0.20251673039583412,6,18
FTSE,1,mean20,-0.17145432195413546,6,18
FTSE,1,slope5,-0.14966840752063967,6,18
FTSE,1,slope20,-0.04584208001547181,6,18
FTSE,1,std20,0.0645745392965715,6,18
FTSE,1,max20,-0.12053746441127468,6,18
FTSE,5,level,-0.0376165098155591,6,18
FTSE,5,mean5,0.36130800183652684,6,18
FTSE,5,mean20,0.21448215486656821,6,18
FTSE,5,slope5,-0.007288868627071951,6,18
FTSE,5,slope20,0.058868021881452307,6,18
FTSE,5,std20,0.1303500497702613,6,18
FTSE,5,max20,-0.02656640947263118,6,18
FTSE,10,level,-0.004756896443976911,6,18
FTSE,10,mean5,-0.1763104490121579,6,18
FTSE,10,mean20,0.2678789221563046,6,18
FTSE,10,slope5,-0.11332001245337535,6,18
FTSE,10,slope20,-0.08451583579890909,6,18
FTSE,10,std20,0.09052294465535482,6,18
FTSE,10,max20,-0.07713187287453122,6,18
GDAXI,1,level,-0.0008364723871951744,4,12
GDAXI,1,mean5,0.0020459254244676664,4,12
GDAXI,1,mean20,-0.08924236538132214,4,12
GDAXI,1,slope5,-0.09204997244480469,4,12
GDAXI,1,slope20,-0.17859470365006502,4,12
GDAXI,1,std20,0.17630400855406417,4,12
GDAXI,1,max20,0.06321552936662675,4,12
GDAXI,5,level,0.09355837241680677,4,12
GDAXI,5,mean5,-0.06758753235280854,4,12
GDAXI,5,mean20,-0.1674812846863191,4,12
GDAXI,5,slope5,0.1187140446606685,4,12
GDAXI,5,slope20,0.024257559499960342,4,12
GDAXI,5,std20,0.027710300395557115,4,12
GDAXI,5,max20,-0.17804229029955393,4,12
GDAXI,10,level,-0.19872546211576828,4,12
GDAXI,10,mean5,-0.14163734410689607,4,12
GDAXI,10,mean20,0.13384677714902976,4,12
GDAXI,10,slope5,-0.04380844635039001,4,12
GDAXI,10,slope20,0.3949279751590164,4,12
GDAXI,10,std20,0.22418774500469835,4,12
GDAXI,10,max20,0.10233812036418281,4,12
HSI,1,level,0.31328813620717066,9,27
HSI,1,mean5,0.32185331532023387,9,27
HSI,1,mean20,0.4833155282854288,9,27
HSI,1,slope5,-0.05794692532657774,9,27
HSI,1,slope20,0.05992191875410558,9,27
HSI,1,std20,-0.15961454150772122,9,27
HSI,1,max20,0.04323719820427431,9,27
HSI,5,level,-0.020978428005609354,9,27
HSI,5,mean5,0.01772808674822055,9,27
HSI,5,mean20,0.20938002215492107,9,27
HSI,5,slope5,0.14473370287313506,9,27
HSI,5,slope20,0.029430011504279655,9,27
HSI,5,std20,-0.0870964957659595,9,27
HSI,5,max20,0.1471168042568244,9,27
HSI,10,level,-0.010289065916400096,9,27
HSI,10,mean5,0.06680151423720193,9,27
HSI,10,mean20,-0.008519991826421065,9,27
HSI,10,slope5,-0.09501937578011144,9,27
HSI,10,slope20,0.02133147402061032,9,27
HSI,10,std20,0.18502309600461536,9,27
HSI,10,max20,0.2023526585106911,9,27
KS11,1,level,0.056320245513208425,6,18
KS11,1,mean5,0.4252643076836083,6,18
KS11,1,mean20,0.2821312547745363,6,18
KS11,1,slope5,0.25030043599505003,6,18
KS11,1,slope20,-0.2939140258015534,6,18
KS11,1,std20,-0.08047326725363846,6,18
KS11,1,max20,0.09075563282508203,6,18
KS11,5,level,-0.16983010580985866,6,18
KS11,5,mean5,0.26645732737215894,6,18
KS11,5,mean20,0.27925197675938024,6,18
KS11,5,slope5,-0.03161747140519454,6,18
KS11,5,slope20,0.07601780925938217,6,18
KS11,5,std20,-0.013525336761401904,6,18
KS11,5,max20,0.05236085959504791,6,18
KS11,10,level,-0.29735990982271443,6,18
