sample_id,label,index,episode_id,era,split,event_onset,origin_date,lead,level,mean5,mean20,slope5,slope20,std20,max20,target_x_h1,target_x_h2,target_x_h3,target_x_h4,target_x_h5,target_x_h6,target_x_h7,target_x_h8,target_x_h9,target_x_h10,matched_positive_id,match_distance,control_reused_across_leads
P_E001_SPX_L1,1,SPX,E001,train,train,2007-07-24,2007-07-23,1,-5.271899553807693,-5.306950236906496,-5.236823641029493,0.15539764790058955,-0.01573411403406635,0.4568990832440431,-4.47157411596545,-4.344672540773038,-4.808079236144545,-3.851132896830585,-4.418317356237058,-4.6406799338342335,-4.275900701921933,-4.431893283438988,-5.038711667365696,-4.09165009942566,-4.091585054469168,,,False
P_E001_SPX_L5,1,SPX,E001,train,train,2007-07-24,2007-07-17,5,-5.831372351428258,-5.343259923187568,-5.1938450608260265,-0.23310010249285418,-0.0323002708805891,0.46990664801884147,-4.47157411596545,-5.107577703883699,-5.651354755293899,-4.672546820118931,-5.271899553807693,-4.344672540773038,-4.808079236144545,-3.851132896830585,-4.418317356237058,-4.6406799338342335,-4.275900701921933,,,False
P_E001_SPX_L10,1,SPX,E001,train,train,2007-07-24,2007-07-10,10,-4.753207654594768,-5.521024355857611,-5.166634680961667,0.2041791546139261,-0.01642348493171017,0.4619266298023107,-4.6222386131336695,-5.248306419804418,-4.47157411596545,-5.528603451093409,-5.636443277646305,-5.831372351428258,-5.107577703883699,-5.651354755293899,-4.672546820118931,-5.271899553807693,-4.344672540773038,,,False
P_E002_HSI_L1,1,HSI,E002,train,train,2007-10-03,2007-10-02,1,-4.61682212648613,-4.56128159259925,-4.794981744925392,-0.09974807826903198,0.010503203277938784,0.30584685025258196,-4.225503189600654,-3.358041602511013,-4.199666397234732,-4.271682201541131,-4.029278350061287,-4.129727079807013,-4.597852811767055,-4.518836765181876,-4.432518867507028,-4.112741954806033,-3.855471654423235,,,False
P_E002_HSI_L5,1,HSI,E002,train,train,2007-10-03,2007-09-24,5,-4.225503189600654,-4.871511146871785,-4.786201103289629,0.18230871329171525,-0.009291663657040858,0.3540051303124618,-4.186634201975851,-4.627984575590277,-4.49327058680955,-4.842827484509637,-4.61682212648613,-3.358041602511013,-4.199666397234732,-4.271682201541131,-4.029278350061287,-4.129727079807013,-4.597852811767055,,,False
P_E002_HSI_L10,1,HSI,E002,train,train,2007-10-03,2007-09-17,10,-4.556895193621177,-4.824462317158279,-4.693607391374297,0.013141524126058424,-0.02461773858696429,0.3970715527509895,-3.6420136425351526,-5.174712864470065,-4.764722038984616,-5.352563385497304,-4.840054255806283,-4.225503189600654,-4.627984575590277,-4.49327058680955,-4.842827484509637,-4.61682212648613,-3.358041602511013,,,False
P_E003_SPX_L1,1,SPX,E003,train,train,2008-01-02,2007-12-31,1,-5.432986723530666,-5.201807160377008,-4.946452927065009,0.006157122406661278,-0.005669503177923884,0.46002278508972644,-3.9604680447815173,-4.402788939627144,-5.219066001679047,-4.28255858009925,-4.747295884440025,-4.0234647652285425,-4.332345223297064,-4.24287817598574,-4.537271532890731,-5.054793972501002,-4.308408166005886,,,False
P_E003_SPX_L5,1,SPX,E003,train,train,2008-01-02,2007-12-24,5,-5.246062636815228,-4.902714833794817,-4.847713693052504,-0.11777394447597743,-0.0012093880768449753,0.4625930476173931,-3.9604680447815173,-5.453220967472902,-4.858963904090843,-5.017801569975405,-5.432986723530666,-4.402788939627144,-5.219066001679047,-4.28255858009925,-4.747295884440025,-4.0234647652285425,-4.332345223297064,,,False
P_E003_SPX_L10,1,SPX,E003,train,train,2008-01-02,2007-12-17,10,-4.816252232561789,-4.497656090949301,-4.734048484889198,-0.254235366184999,-0.016043492646989795,0.49018870685187405,-3.9604680447815173,-4.588658605545688,-4.842332975667897,-5.1312555930566806,-4.70526435788859,-5.246062636815228,-5.453220967472902,-4.858963904090843,-5.017801569975405,-5.432986723530666,-4.402788939627144,,,False
P_E003_OMXSPI_L1,1,OMXSPI,E003,train,train,2008-01-04,2008-01-03,1,-4.441757152170101,-4.630270867682276,-4.609361808213713,0.06846123542838749,0.0006065574178254336,0.30005905593116244,-4.05063804801467,-3.8695466436384995,-4.286971444205433,-4.371845949017306,-4.1828009474574435,-3.981635035816363,-4.8997296334504625,-4.28757292005559,-3.7739948292472336,-3.923384360306966,-4.333320265549518,,,False
P_E003_OMXSPI_L5,1,OMXSPI,E003,train,train,2008-01-04,2007-12-21,5,-4.508149644829948,-4.6232820937468855,-4.548141919201431,-0.1126448202936493,-0.010729196972339913,0.3549065201137054,-3.8056996740169824,-4.977255652030344,-4.798763606314824,-4.425428283066158,-4.441757152170101,-3.8695466436384995,-4.286971444205433,-4.371845949017306,-4.1828009474574435,-3.981635035816363,-4.8997296334504625,,,False
P_E003_OMXSPI_L10,1,OMXSPI,E003,train,train,2008-01-04,2007-12-14,10,-4.522613982201902,-4.523925749597623,-4.459833902875501,0.10340922909362987,-0.02330189027374997,0.42605199128009047,-3.5842493150606396,-4.05063804801467,-4.658324869077578,-5.029548028428724,-4.8697498783835105,-4.508149644829948,-4.977255652030344,-4.798763606314824,-4.425428283066158,-4.441757152170101,-3.8695466436384995,,,False
P_E003_HSI_L1,1,HSI,E003,train,train,2008-01-08,2008-01-07,1,-4.521964612345678,-4.576776578224376,-4.512709096654911,0.0630253144881073,-0.020637931058369904,0.40215575905657786,-3.773910530176682,-4.418893406891479,-3.9533498172912394,-4.55136023351194,-3.953396128853151,-4.186633606796129,-3.8030494490039572,-3.927027555418532,-3.3615105828654723,-3.5004340693593123,-3.824217736978098,,,False
P_E003_HSI_L5,1,HSI,E003,train,train,2008-01-08,2007-12-31,5,-4.790553413987897,-4.792103154503416,-4.52769105828817,0.003766649292633783,-0.014382675920091424,0.408749321999941,-3.773910530176682,-4.417141806165622,-4.830156794053693,-4.324066264568987,-4.521964612345678,-4.418893406891479,-3.9533498172912394,-4.55136023351194,-3.953396128853151,-4.186633606796129,-3.8030494490039572,,,False
P_E003_HSI_L10,1,HSI,E003,train,train,2008-01-08,2007-12-20,10,-5.210156321091402,-4.4334106015851615,-4.459643056080113,-0.18868657087865917,0.011000707475356442,0.3953449276393249,-3.773910530176682,-4.560729638163179,-5.284464378759065,-4.537618007423659,-4.787150334183279,-4.790553413987897,-4.417141806165622,-4.830156794053693,-4.324066264568987,-4.521964612345678,-4.418893406891479,,,False
P_E003_N225_L1,1,N225,E003,train,train,2008-01-09,2008-01-08,1,-4.88512280524455,-4.774367599063375,-4.848139791265787,0.18330864922211676,0.004649415652293631,0.47356910344788516,-3.6953525281350426,-4.285044108446028,-4.809569374328342,-4.215252470280876,-4.328764783426279,-4.200010818019248,-4.229439873661402,-3.7434879319476035,-4.070192679802957,-3.6562104180132167,-3.874425724673203,,,False
