index,onset_date,origin_level,origin_pctile,era,pre_onset_level,onset_level,jump_logvol,peak60,peak_gain60,persist60,recovery_days,episode_id,split
SPX,2007-07-24,-5.271899553807693,0.34846519671422393,train,-5.271899553807693,-4.344672540773038,0.9272270130346554,-3.851132896830585,1.4207666569771082,18,1.0,E001,train
HSI,2007-10-03,-4.61682212648613,0.70432480141218,train,-4.61682212648613,-3.358041602511013,1.2587805239751169,-3.358041602511013,1.2587805239751169,34,5.0,E002,train
SPX,2008-01-02,-5.432986723530666,0.2546476437527021,train,-5.432986723530666,-4.402788939627144,1.030197783903522,-3.448599974419789,1.984386749110877,34,1.0,E003,train
OMXSPI,2008-01-04,-4.441757152170101,0.7601908065915004,train,-4.441757152170101,-3.8695466436384995,0.5722105085316018,-3.024296217795277,1.4174609343748243,34,2.0,E003,train
HSI,2008-01-08,-4.521964612345678,0.7586054721977052,train,-4.521964612345678,-4.418893406891479,0.10307120545419846,-3.198674030194055,1.323290582151623,39,2.0,E003,train
N225,2008-01-09,-4.88512280524455,0.5920818505338078,train,-4.88512280524455,-4.285044108446028,0.6000786967985219,-3.6562104180132167,1.2289123872313334,40,1.0,E003,train
FTSE,2008-01-15,-4.935708168910743,0.48836206896551726,train,-4.935708168910743,-3.9816836540055696,0.9540245149051736,-3.0784029106439106,1.8573052582668326,31,10.0,E003,train
GDAXI,2008-01-18,-4.435931679604587,0.7235319331333048,train,-4.435931679604587,-4.053460421753429,0.382471257851158,-3.0939275274426894,1.3420041521618975,22,6.0,E003,train
SPX,2008-06-26,-4.650302502689708,0.7250324254215305,train,-4.650302502689708,-4.178999661941726,0.471302840747982,-3.2241822501063133,1.4261202525833943,29,1.0,E004,train
KS11,2008-07-01,-5.018873222366739,0.5390008764241893,train,-5.018873222366739,-4.546814942192449,0.4720582801742905,-3.634139253730781,1.3847339686359583,36,4.0,E004,train
HSI,2008-08-01,-5.334191498725745,0.2202118270079435,train,-5.334191498725745,-4.019882573299933,1.314308925425812,-2.244472601629525,3.08971889709622,44,1.0,E005,train
OMXSPI,2008-08-28,-4.672288526067198,0.647441457068517,train,-4.672288526067198,-4.220992507371531,0.4512960186956665,-2.7973684019567338,1.874920124110464,51,1.0,E006,train
FCHI,2008-09-02,-4.909281194518093,0.3985538068906848,train,-4.909281194518093,-4.181828095957543,0.7274530985605505,-2.8892784775742335,2.0200027169438597,52,1.0,E006,train
N225,2008-09-05,-4.964604587146736,0.5333629893238434,train,-4.964604587146736,-4.521023999664749,0.44358058748198737,-2.651779946471416,2.3128246406753203,52,2.0,E006,train
FCHI,2009-01-06,-4.537636140649452,0.6575925138239047,train,-4.537636140649452,-4.1732246294114725,0.36441151123797955,-3.2498736772488575,1.2877624634005946,49,4.0,E007,train
OMXSPI,2009-01-08,-4.7937853845278795,0.5741543798785776,train,-4.7937853845278795,-4.291238817844796,0.5025465666830833,-3.307090739075493,1.4866946454523866,50,1.0,E007,train
KS11,2009-05-22,-4.757736622499874,0.6923751095530236,train,-4.757736622499874,-4.415590949764897,0.3421456727349774,-3.133711583732986,1.6240250387668884,18,5.0,E008,train
OMXSPI,2010-04-23,-4.498481801878334,0.7324371205550737,train,-4.498481801878334,-4.303150897814803,0.19533090406353093,-3.543139464833903,0.9553423370444314,27,1.0,E009,train
SPX,2010-05-04,-4.790941245910869,0.6502377864245569,train,-4.790941245910869,-4.205173373245231,0.5857678726656372,-2.904405565829609,1.8865356800812596,33,1.0,E010,train
FTSE,2010-05-04,-4.501361898188401,0.7482758620689656,train,-4.501361898188401,-4.000528222702475,0.5008336754859259,-3.45451721010005,1.0468446880883513,26,7.0,E010,train
SPX,2011-07-27,-5.517565755022846,0.2127107652399481,train,-5.517565755022846,-4.346401902731418,1.1711638522914285,-3.192734307476461,2.3248314475463854,46,1.0,E011,train
GDAXI,2011-08-01,-4.536665606152199,0.6596656665237891,train,-4.536665606152199,-3.5869899929641473,0.9496756131880515,-2.8863843102771582,1.6502812958750406,56,10.0,E011,train
OMXSPI,2011-08-01,-4.717753833115442,0.6214223764093668,train,-4.717753833115442,-3.6014748954666587,1.116278937648783,-3.0385242715507195,1.6792295615647221,48,10.0,E011,train
FCHI,2011-08-01,-5.326020329427379,0.15312632922160782,train,-5.326020329427379,-3.7936181641390574,1.532402165288322,-3.096865657240972,2.2291546721864073,44,1.0,E011,train
FTSE,2011-08-01,-4.793014155500286,0.5827586206896552,train,-4.793014155500286,-4.171652270828745,0.6213618846715407,-3.019620972104078,1.773393183396208,42,1.0,E011,train
KS11,2011-08-02,-5.479700001048374,0.2072743207712533,train,-5.479700001048374,-4.47014451189702,1.0095554891513538,-3.011031418225955,2.468668582822419,42,1.0,E011,train
HSI,2011-09-22,-4.571920781787784,0.7285966460723742,train,-4.571920781787784,-4.23124211593277,0.3406786658550143,-3.671800806292968,0.9001199754948161,21,4.0,E012,train
N225,2013-05-16,-5.101022264015337,0.4332740213523132,train,-5.101022264015337,-4.5056802076606255,0.5953420563547116,-2.853802511571329,2.2472197524440083,38,1.0,E013,train
