model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,fold
esn_direct_tuned,Transition,path,72,720,0.588769364434576,1.6632243632466617,0.42676512702666386,1.0309610334151564,0.1612242288736443,4
esn_direct_tuned,L1,path,24,240,0.7598355213037923,3.123280953525624,-0.5718766605104582,0.7622150148726802,0.09148876255863714,4
esn_direct_tuned,L5,path,24,240,0.5681191790543964,1.5128894596262679,0.5839651539884476,1.062203185196713,0.17735519381269194,4
esn_direct_tuned,L10,path,24,240,0.3739500935227008,0.35350267658809303,0.9818033599764135,1.2076747368885115,0.3613683007781143,4
esn_direct_tuned,Controls,path,216,2160,0.4489207719601517,0.5231934529743079,3.067515575050025,1.6653505294436717,0.49027895148229206,4
esn_direct_tuned,Pooled,path,288,2880,0.4876573958704487,0.8082011805423964,2.2636000090903834,1.4751117726070007,0.35651984703147677,4
esn_shuffled_tuned,Transition,path,72,720,0.5876421587013926,1.628936452029159,1.0074592214632803,1.1538395413401508,0.16404938019255766,4
esn_shuffled_tuned,L1,path,24,240,0.7652722842631412,3.150198617044895,-0.04418841060078449,0.8716530979220677,0.09599686491719706,4
esn_shuffled_tuned,L5,path,24,240,0.5551011396312561,1.3855624704754064,1.4967182422702818,1.2576661625583903,0.20896050775115416,4
esn_shuffled_tuned,L10,path,24,240,0.377082187020884,0.35104826856717575,1.6909250057747787,1.358126866037669,0.36534193190663933,4
esn_shuffled_tuned,Controls,path,216,2160,0.46568475911458007,0.5861769543274638,3.932321130276605,1.8521917090023665,0.4684812019820961,4
esn_shuffled_tuned,Pooled,path,288,2880,0.49897650027282,0.8468668287528875,2.9179229931310915,1.6160393056697249,0.33551399589275055,4
garch_1_1_t,Transition,path,72,720,0.5616157816744348,0.9651579840905729,-2.1387752977688925,0.5282212707996753,0.12219766750547012,4
garch_1_1_t,L1,path,24,240,0.5955253229045399,1.6313693704833552,-1.9227551131773917,0.5097592441494322,0.10962139038471586,4
garch_1_1_t,L5,path,24,240,0.5204523582186432,0.8285950032961265,-1.8711891036502548,0.5890535522399782,0.1589766040509072,4
garch_1_1_t,L10,path,24,240,0.5663177476306531,0.4355095784922367,-2.1337898765134744,0.597186220132799,0.2672376047418108,4
garch_1_1_t,Controls,path,216,2160,0.6014568736241629,0.4714215430203795,-0.31887999145425105,1.0236016875489127,0.45264707619887956,4
garch_1_1_t,Pooled,path,288,2880,0.5917481302706084,0.5948556532879277,-0.8888397288710757,0.8719365419013957,0.3159449776833869,4
har,Transition,path,72,720,0.597242947328039,1.7963579017125908,-0.714067668647903,0.7900962413166414,0.14609729773923352,4
har,L1,path,24,240,0.770780857504562,3.338094036006161,-1.3885503380401456,0.5894678845422011,0.0746765687058758,4
har,L5,path,24,240,0.5807507943499289,1.6951165900260952,-0.7703305618491,0.7767383190516207,0.15014276239378566,4
har,L10,path,24,240,0.37245509657636156,0.35586307910551696,-0.3266571747114206,0.9316218874394628,0.35774841475749797,4
har,Controls,path,216,2160,0.42548779198404935,0.4565267018544585,1.6192836767052545,1.352763674234233,0.5020170669330392,4
har,Pooled,path,288,2880,0.47429387554433694,0.7914845018189915,1.0265225396211606,1.209365637171784,0.36974179979848887,4
persistence,Transition,path,72,720,0.7138955795621847,2.898271911037588,-3.0545361618853932,0.29352908445295617,0.044980228232730624,4
persistence,L1,path,24,240,0.8269470516569236,4.2760180652739415,-1.9658031836204712,0.46203956766011917,0.09122160427424664,4
persistence,L5,path,24,240,0.7674409428377198,3.627639558348957,-3.9678542491825533,0.10277500399286824,0.005367589439832732,4
persistence,L10,path,24,240,0.5060965012401851,0.7911581094898653,-2.8208976314738257,0.4058984325610606,0.16582119156230535,4
persistence,Controls,path,216,2160,0.5152230182906287,0.7925395567798247,-1.4226349668509106,0.6962535554803908,0.2648941410564123,4
persistence,Pooled,path,288,2880,0.5714042295625629,1.3189726453442654,-1.821992927032796,0.5970936570948028,0.18373945483868925,4
sequence_ridge,Transition,path,72,720,0.5946295653315927,1.73347170077165,-0.1409031566035284,0.9096401566212069,0.157252493622008,4
sequence_ridge,L1,path,24,240,0.7790873956706592,3.374509757548557,-0.9499690885748939,0.6792263899479414,0.08756579065206194,4
sequence_ridge,L5,path,24,240,0.5625707375876702,1.4835330463434824,0.25299791433140956,0.9925844809413635,0.19897261484027895,4
sequence_ridge,L10,path,24,240,0.37052659151063744,0.34237229842290995,0.3615270963889968,1.075879445874675,0.364272584634901,4
sequence_ridge,Controls,path,216,2160,0.4407778402987225,0.49603943020941405,2.6336397381302232,1.5720432060733713,0.4984594359151133,4
sequence_ridge,Pooled,path,288,2880,0.4838490553524046,0.805397497849973,1.7561397718120442,1.3661151076059126,0.3564481370103474,4
esn_direct_tuned,Transition,path,85,850,0.5845509905399208,1.5827967377897367,1.375336566332971,1.2306588182245368,0.22468051062933447,5
esn_direct_tuned,L1,path,29,290,0.6994594600227402,2.5570971690366577,1.089741086114278,1.1128713550756515,0.24293533907221,5
esn_direct_tuned,L5,path,28,280,0.5847378739304453,1.739951045173813,2.119269342447852,1.3851789665838308,0.2675134166345453,5
esn_direct_tuned,L10,path,28,280,0.4343595828472607,0.4165455551856355,1.232618564564633,1.2618506574805188,0.32108212002047465,5
esn_direct_tuned,Controls,path,253,2530,0.47321546444426743,0.6129869057110752,1.5466086692541745,1.3456962026400954,0.3149211097267224,5
esn_direct_tuned,Pooled,path,338,3380,0.5035363278782463,0.8568739936598511,1.634324474780318,1.3438422387939482,0.273074221277099,5
esn_shuffled_tuned,Transition,path,85,850,0.5905900852201079,1.62002084077712,1.4930931813544768,1.2560992075514261,0.19864670765137205,5
esn_shuffled_tuned,L1,path,29,290,0.7018422190441838,2.6018526227733636,1.0080231136399451,1.0975875236731485,0.19917645744530776,5
esn_shuffled_tuned,L5,path,28,280,0.5928839490900507,1.8031974651131464,2.332963462793048,1.4286811341411478,0.24652040684137722,5
esn_shuffled_tuned,L10,path,28,280,0.44402799435519746,0.41994701365927023,1.5109822722900106,1.3216434792378984,0.2954896143308777,5
esn_shuffled_tuned,Controls,path,253,2530,0.4814728427704654,0.6372468262786345,1.864007705534629,1.4105283643844906,0.2899978084466738,5
esn_shuffled_tuned,Pooled,path,338,3380,0.5111108334654132,0.884394137617011,1.968823320734021,1.412719560983468,0.2541234339745375,5
garch_1_1_t,Transition,path,85,850,0.55762120921578,0.7969065404772926,-1.4995766051825385,0.6829694872374478,0.16017247874784335,5
