model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,stage
persistence,Transition,1,307,307,0.6185923916306373,1.4999383833981452,-2.791846368614299,0.3732914420965931,0.10216944772785808,selection
persistence,Transition,2,307,307,0.5500482737325134,1.040682004309189,-2.7203305605545345,0.40873374488007175,0.137649552004259,selection
persistence,Transition,3,307,307,0.6271448090785708,1.6811508203386272,-3.0112359262867248,0.3377363402836675,0.0792762481139645,selection
persistence,Transition,4,307,307,0.612930228328704,1.4960643981541661,-3.1149349006992035,0.31539305095925313,0.07641967503245828,selection
persistence,Transition,5,307,307,0.7517587286415119,2.7369905898921965,-3.2558462990781756,0.2420618707831752,0.039420419410205354,selection
persistence,Transition,6,307,307,0.689764652023719,2.313255694733031,-2.906781836258394,0.32671050302312393,0.07480287676417197,selection
persistence,Transition,7,307,307,0.773366812805935,3.390662392667758,-3.5016571843367443,0.19662567397199499,0.023347197228132943,selection
persistence,Transition,8,307,307,0.7564002550252981,3.1150660039167257,-2.8275658146126457,0.3259983628067312,0.06672444842940861,selection
persistence,Transition,9,307,307,0.7415596066763931,3.7199065657353545,-3.1364910378352624,0.26965070713623424,0.04790428587175155,selection
persistence,Transition,10,307,307,0.8492861949210996,4.819086683541863,-2.803328441995214,0.2827355265525924,0.07788447799454479,selection
persistence,L1,1,104,104,0.7678586312599268,2.821303088660948,-1.8035791544714042,0.48146346281523106,0.3052908101526268,selection
persistence,L1,2,104,104,0.6160343787141963,1.6203166427465814,-1.9014229122854933,0.5228450244673822,0.16779243949219713,selection
persistence,L1,3,104,104,0.7332392968085185,2.7428725144997665,-2.492142618063218,0.38589648617572003,0.07227158012132062,selection
persistence,L1,4,104,104,0.747680002235026,3.1680373184018458,-1.301552216469601,0.6125798147109665,0.19333402777911846,selection
persistence,L1,5,104,104,0.751481434087775,3.301064152419048,-1.6175455080111976,0.5548255553468149,0.14264611891989987,selection
persistence,L1,6,104,104,0.7590086475959364,3.0875679890015877,-0.7453294988769565,0.7213410858255723,0.25903504039954317,selection
persistence,L1,7,104,104,0.8674137070549464,5.0098373860423875,-2.6318143111035273,0.318376387760614,0.05083719744518178,selection
persistence,L1,8,104,104,0.8228394302380614,3.5614283381485783,-1.4389762398666999,0.5604501187242028,0.18686301864921917,selection
persistence,L1,9,104,104,0.7597454736827152,3.1653163766518606,-1.0915556993398166,0.650482093376918,0.2203591122334868,selection
persistence,L1,10,104,104,0.8425087268141049,3.7403007116218996,-2.4920537456398812,0.34528704470261434,0.0721420057003147,selection
persistence,L5,1,103,103,0.44956210873983815,0.5326189823491895,-2.794663646490808,0.41797460194169395,0.1919958917188742,selection
persistence,L5,2,103,103,0.4665203647729461,0.5807307591721313,-2.7966054231294666,0.4212176900333374,0.17659598363662943,selection
