model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,stage,reference_rmse,reference_qlike,reference_mz_alpha,reference_mz_beta,reference_mz_r2,reference_model,delta_rmse,delta_qlike,delta_mz_r2
persistence,Transition,path,213,2130,0.7562008519552769,3.276236673189769,-2.861254178552108,0.35168190891176176,0.05655768510246095,confirmation,0.6498447750821417,2.172314211541965,-0.2080340290948854,0.8985793605068547,0.13201489289200496,sequence_ridge,0.1063560768731352,1.1039224616478043,-0.07545720778954401
har,Transition,path,213,2130,0.6555633404794193,2.2341699944129108,-0.4264182225673818,0.8522228008539877,0.13034176443927648,confirmation,0.6498447750821417,2.172314211541965,-0.2080340290948854,0.8985793605068547,0.13201489289200496,sequence_ridge,0.005718565397277664,0.06185578287094584,-0.0016731284527284895
garch_1_1_t,Transition,path,213,2130,0.609546071293961,1.013043478173962,-1.808357192026308,0.6199398431505786,0.10970051171818318,confirmation,0.6498447750821417,2.172314211541965,-0.2080340290948854,0.8985793605068547,0.13201489289200496,sequence_ridge,-0.04029870378818068,-1.159270733368003,-0.022314381173821785
esn_direct_tuned,Transition,path,213,2130,0.6478329523526604,2.129930585609304,0.0774972210639316,0.9574412564175632,0.13312222930230955,confirmation,0.6498447750821417,2.172314211541965,-0.2080340290948854,0.8985793605068547,0.13201489289200496,sequence_ridge,-0.002011822729481305,-0.04238362593266087,0.0011073364103045824
esn_shuffled_tuned,Transition,path,213,2130,0.647512105944718,2.1506001930267686,0.1139385415407968,0.9668461635368168,0.11977900902967487,confirmation,0.6498447750821417,2.172314211541965,-0.2080340290948854,0.8985793605068547,0.13201489289200496,sequence_ridge,-0.002332669137423693,-0.021714018515196276,-0.0122358838623301
persistence,L1,path,71,710,0.8910328377311699,5.1340481762425885,-1.7986926606594573,0.5025110977715406,0.10465810207996629,confirmation,0.8022062250946794,3.7167233914013873,-0.11702203318773814,0.8545420045612548,0.12574571483257502,sequence_ridge,0.0888266126364905,1.4173247848412012,-0.02108761275260873
har,L1,path,71,710,0.8079896983938545,3.7935431669662685,-0.32929667356748127,0.8100485523330544,0.1267912305630552,confirmation,0.8022062250946794,3.7167233914013873,-0.11702203318773814,0.8545420045612548,0.12574571483257502,sequence_ridge,0.005783473299175057,0.07681977556488118,0.0010455157304801732
garch_1_1_t,L1,path,71,710,0.5908983879864577,1.4908713457474803,-1.320612174337029,0.6583606499900068,0.1311029442122159,confirmation,0.8022062250946794,3.7167233914013873,-0.11702203318773814,0.8545420045612548,0.12574571483257502,sequence_ridge,-0.21130783710822176,-2.225852045653907,0.005357229379640893
esn_direct_tuned,L1,path,71,710,0.8006501671684358,3.6731778655285825,0.1854546490258533,0.9161640920924513,0.13266500035851048,confirmation,0.8022062250946794,3.7167233914013873,-0.11702203318773814,0.8545420045612548,0.12574571483257502,sequence_ridge,-0.0015560579262435814,-0.0435455258728048,0.006919285525935459
esn_shuffled_tuned,L1,path,71,710,0.7977395013007138,3.7078419726072824,-0.11190156480386239,0.857799786642619,0.10126652869751995,confirmation,0.8022062250946794,3.7167233914013873,-0.11702203318773814,0.8545420045612548,0.12574571483257502,sequence_ridge,-0.004466723793965621,-0.008881418794104867,-0.024479186135055064
persistence,L5,path,71,710,0.7886952680694915,3.625739074787377,-3.2584310208208698,0.27145321510692033,0.053628147429157,confirmation,0.6477424429853783,2.2131457706901965,0.015655907513987294,0.9411125981720616,0.149502828416332,sequence_ridge,0.14095282508411322,1.4125933040971805,-0.095874680987175
har,L5,path,71,710,0.6559320145835105,2.3095085756686817,-0.18356761331115137,0.8973354879519041,0.15085664276993727,confirmation,0.6477424429853783,2.2131457706901965,0.015655907513987294,0.9411125981720616,0.149502828416332,sequence_ridge,0.008189571598132162,0.09636280497848526,0.001353814353605265
garch_1_1_t,L5,path,71,710,0.5948016491617308,0.9834177016668069,-1.6283215948567717,0.6565743718839593,0.12980164863306165,confirmation,0.6477424429853783,2.2131457706901965,0.015655907513987294,0.9411125981720616,0.149502828416332,sequence_ridge,-0.05294079382364747,-1.2297280690233896,-0.01970117978327035
esn_direct_tuned,L5,path,71,710,0.6447942168518004,2.1514978201707216,0.24878010813396306,0.9894956175184455,0.15254599581021544,confirmation,0.6477424429853783,2.2131457706901965,0.015655907513987294,0.9411125981720616,0.149502828416332,sequence_ridge,-0.0029482261335779247,-0.061647950519474914,0.003043167393883439
esn_shuffled_tuned,L5,path,71,710,0.6438241547020961,2.16207271718555,0.41869474481960767,1.0265101433117971,0.13896060836151602,confirmation,0.6477424429853783,2.2131457706901965,0.015655907513987294,0.9411125981720616,0.149502828416332,sequence_ridge,-0.003918288283282223,-0.05107305350464664,-0.010542220054815976
persistence,L10,path,71,710,0.5473019657402952,1.068922768539342,-3.0823765452943035,0.36918697547883744,0.059938345728562936,confirmation,0.4514306093735297,0.5870734725343112,-0.2908501233998594,0.9475179367547245,0.23605349156939193,sequence_ridge,0.09587135636676553,0.4818492960050309,-0.176115145840829
har,L10,path,71,710,0.4540877885116829,0.5994582406037815,-0.5094461270210597,0.9016757805059931,0.22750638507763865,confirmation,0.4514306093735297,0.5870734725343112,-0.2908501233998594,0.9475179367547245,0.23605349156939193,sequence_ridge,0.0026571791381532206,0.012384768069470309,-0.008547106491753276
garch_1_1_t,L10,path,71,710,0.641630214624591,0.5648413871075983,-1.9880500352723738,0.6529298417816163,0.18984977089566357,confirmation,0.4514306093735297,0.5870734725343112,-0.2908501233998594,0.9475179367547245,0.23605349156939193,sequence_ridge,0.19019960525106133,-0.022232085426712844,-0.046203720673728355
esn_direct_tuned,L10,path,71,710,0.44973584490178486,0.5651160711286071,0.23015830079498942,1.0551527940007515,0.24314302158493784,confirmation,0.4514306093735297,0.5870734725343112,-0.2908501233998594,0.9475179367547245,0.23605349156939193,sequence_ridge,-0.0016947644717448251,-0.021957401405704124,0.0070895300155459084
esn_shuffled_tuned,L10,path,71,710,0.4548823231578811,0.5818858892874744,0.2340988433367011,1.0571637595435694,0.22733795660414124,confirmation,0.4514306093735297,0.5870734725343112,-0.2908501233998594,0.9475179367547245,0.23605349156939193,sequence_ridge,0.0034517137843513845,-0.005187583246836769,-0.008715534965250682
persistence,Controls,path,639,6390,0.5667085442443257,0.8140524196438222,-2.939971648847972,0.4242769485678653,0.11035115913133686,confirmation,0.48414701169249885,0.506055492021564,0.19835656753687564,1.0676473019779669,0.25008607389177806,sequence_ridge,0.08256153255182686,0.3079969276222583,-0.1397349147604412
