model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,fold
esn_direct_tuned,Transition,path,75,750,0.5847473432815216,1.624128699860039,0.5425549109860439,1.0559431117577844,0.17181418312268304,4
esn_direct_tuned,L1,path,25,250,0.7519024192155763,3.037502745476936,-0.34711980996087793,0.8116877432768425,0.10395353256494788,4
esn_direct_tuned,L5,path,25,250,0.5633354462439758,1.4714796328718867,0.7163351655480988,1.0909383487460067,0.18711231241784687,4
esn_direct_tuned,L10,path,25,250,0.37826484558739665,0.36340372123129394,0.8753353948658044,1.184113265147703,0.3555696420999598,4
esn_direct_tuned,Controls,path,225,2250,0.45098556999008715,0.5187895629119855,3.0631954724592543,1.664631960996296,0.49997401482062453,4
esn_direct_tuned,Pooled,path,300,3000,0.48787636971179715,0.7951243471489988,2.315845240003546,1.4866430064450336,0.3680391446589647,4
esn_shuffled_tuned,Transition,path,75,750,0.5839605769560965,1.59221803777074,1.0930520723195454,1.1721460416677496,0.17440477400983245,4
esn_shuffled_tuned,L1,path,25,250,0.7574858768121882,3.0653775547568967,0.21712484886492056,0.9283966930727287,0.11096165479527687,4
esn_shuffled_tuned,L5,path,25,250,0.5511594655632737,1.3516475554092164,1.5563904994609974,1.2703693346832925,0.21928036510524462,4
esn_shuffled_tuned,L10,path,25,250,0.38140301030113594,0.3596290031461074,1.559794363482085,1.3293198986633012,0.35822360018103916,4
esn_shuffled_tuned,Controls,path,225,2250,0.4665745636423529,0.5786360944842852,3.8109584967447754,1.8257704710314884,0.47943170003248636,4
esn_shuffled_tuned,Pooled,path,300,3000,0.4985191635617063,0.8320315803058989,2.905848853638862,1.6133525193900353,0.3489970264837937,4
esn_direct_tuned,Transition,path,85,850,0.5845509905399209,1.5827967377897365,1.3753365663329784,1.230658818224539,0.22468051062933425,5
esn_direct_tuned,L1,path,29,290,0.6994594600227401,2.5570971690366573,1.0897410861142782,1.1128713550756515,0.24293533907221,5
esn_direct_tuned,L5,path,28,280,0.5847378739304453,1.739951045173813,2.119269342447855,1.385178966583831,0.2675134166345451,5
esn_direct_tuned,L10,path,28,280,0.43435958284726073,0.4165455551856355,1.2326185645646417,1.261850657480521,0.32108212002047476,5
esn_direct_tuned,Controls,path,255,2550,0.47333589229735684,0.6105074125219202,1.547365304095711,1.3457824178337805,0.31442297721355217,5
esn_direct_tuned,Pooled,path,340,3400,0.5034482250817872,0.8535797438388741,1.6444630485852516,1.345999358951351,0.2736091377822968,5
esn_shuffled_tuned,Transition,path,85,850,0.5905900852201079,1.6200208407771197,1.4930931813544828,1.2560992075514272,0.1986467076513717,5
esn_shuffled_tuned,L1,path,29,290,0.7018422190441838,2.6018526227733636,1.0080231136399485,1.0975875236731487,0.19917645744530788,5
esn_shuffled_tuned,L5,path,28,280,0.5928839490900507,1.8031974651131457,2.33296346279305,1.4286811341411483,0.24652040684137722,5
esn_shuffled_tuned,L10,path,28,280,0.44402799435519746,0.4199470136592702,1.5109822722900115,1.321643479237899,0.2954896143308776,5
esn_shuffled_tuned,Controls,path,255,2550,0.48191239030651345,0.6347885512256847,1.8784422928911202,1.4136778382774084,0.28948095142083397,5
esn_shuffled_tuned,Pooled,path,340,3400,0.5112522138223722,0.8810966236135434,1.9841595415036237,1.4161295072975475,0.2541488952150691,5
esn_direct_tuned,Transition,path,150,1500,0.5372236123602522,1.1521982699615188,-1.2873781926456482,0.6830369214447148,0.09750897218446919,6
esn_direct_tuned,L1,path,51,510,0.6386257126668045,1.9425195152455217,0.2333929127744466,0.9532224124179426,0.16827739974061617,6
esn_direct_tuned,L5,path,51,510,0.507124613801014,1.0685276173498754,-0.5831361627962692,0.8350645947386405,0.14997422287007478,6
esn_direct_tuned,L10,path,48,480,0.4419524516446683,0.4013820152471364,-1.6791707454777158,0.6575392702162198,0.1467669947623419,6
esn_direct_tuned,Controls,path,450,4500,0.4543914004189521,0.6347325537184298,0.9172888482219387,1.200270493895879,0.2753164905772334,6
esn_direct_tuned,Pooled,path,600,6000,0.47645142564627924,0.7640989827792022,0.20817202701954188,1.035689524051636,0.2084737872656821,6
esn_shuffled_tuned,Transition,path,150,1500,0.5276297355706683,1.1013038358373173,-1.06609822794734,0.7332544798358687,0.10814010730999757,6
esn_shuffled_tuned,L1,path,51,510,0.6223350426051415,1.8446967243300725,-0.17109386534303742,0.8722560661695661,0.14558350496058836,6
esn_shuffled_tuned,L5,path,51,510,0.5053942675621761,1.0379943059370738,-0.6824060967042547,0.8166919887061415,0.13484713395712955,6
esn_shuffled_tuned,L10,path,48,480,0.4325321004673229,0.3787152673327733,-1.3792588417024043,0.7225476978537655,0.1699848467968953,6
esn_shuffled_tuned,Controls,path,450,4500,0.4581489022395758,0.6697738875321193,1.04489903513237,1.227568410133172,0.2645690084183373,6
esn_shuffled_tuned,Pooled,path,600,6000,0.4764699328730928,0.7776563746084187,0.39096184538270257,1.076000103860781,0.20845796876478528,6
esn_direct_tuned,Transition,path,123,1230,0.6359486318055495,2.0934950673061676,-0.25754819601791884,0.8863435845373068,0.11016816769503135,7
esn_direct_tuned,L1,path,41,410,0.8089401972989251,3.8341532395398468,-0.854016886196503,0.7001196861440588,0.07591977541785766,7
esn_direct_tuned,L5,path,41,410,0.6212322838494607,1.9953516127599575,-0.14275713020852876,0.9078922578210481,0.1264461386483976,7
esn_direct_tuned,L10,path,41,410,0.4159064721583574,0.45098034961869743,0.3243383393826719,1.071758868470726,0.25577853922108507,7
esn_direct_tuned,Controls,path,369,3690,0.47378679787515265,0.4381825565368259,0.6273529469981394,1.1519945994438372,0.22842884642993677,7
esn_direct_tuned,Pooled,path,492,4920,0.5190983653937187,0.8520106842291614,0.45235173051642696,1.095114956144466,0.175003040000264,7
esn_shuffled_tuned,Transition,path,123,1230,0.6339831632845958,2.083414565475814,-0.2839439710978786,0.8832748183710207,0.0958566862705984,7
esn_shuffled_tuned,L1,path,41,410,0.8044617800495454,3.8345865037876528,-1.219200583055165,0.6270262040751402,0.052210157308325233,7
esn_shuffled_tuned,L5,path,41,410,0.6170962881825627,1.9581989203608234,0.02134660519035321,0.9439604455625268,0.11770022187473428,7
esn_shuffled_tuned,L10,path,41,410,0.42170768256678465,0.4574582722789661,0.38275131776521515,1.0866062599966437,0.23872331546316905,7
esn_shuffled_tuned,Controls,path,369,3690,0.48058235441009683,0.4459428268497125,0.8216486943958168,1.1944362012642622,0.2162874630523215,7
esn_shuffled_tuned,Pooled,path,492,4920,0.5231665245023324,0.8553107615062379,0.6143370747185484,1.1309239422476072,0.164183198288819,7
esn_direct_tuned,Transition,path,90,900,0.6637308131771018,2.1797257939569237,0.3899268270375039,1.0244667926535445,0.15787523686763394,8
esn_direct_tuned,L1,path,30,300,0.7891796383633444,3.453178187713188,1.245345500368757,1.1357937912528386,0.20703654353363654,8
esn_direct_tuned,L5,path,30,300,0.6756680338179614,2.3648976369654324,0.614485860588751,1.0659893300192262,0.17935909064877176,8
esn_direct_tuned,L10,path,30,300,0.49222350975088713,0.7211015571921504,0.10755520651774043,1.0337718394367903,0.2292470015120417,8
esn_direct_tuned,Controls,path,270,2700,0.5049020179913669,0.5906143785768476,0.2727724087670716,1.088528808749393,0.25386004536827145,8
esn_direct_tuned,Pooled,path,360,3600,0.5489345898365308,0.9878922324218666,0.49545807052063356,1.1117972269084357,0.21416214680284484,8
esn_shuffled_tuned,Transition,path,90,900,0.6655570633444432,2.2424205506797397,0.4866160852819591,1.0454013334828647,0.14539287226451614,8
esn_shuffled_tuned,L1,path,30,300,0.7884597045176438,3.5346244466607755,0.9712010163359426,1.0830670470641934,0.1663305078124031,8
esn_shuffled_tuned,L5,path,30,300,0.6786520097514903,2.4407002395126742,0.8065404380932577,1.1070270721448623,0.16049030812944276,8
esn_shuffled_tuned,L10,path,30,300,0.49665013612728454,0.7519369658657689,0.0627986476876961,1.0236895479064343,0.21339491036743474,8
esn_shuffled_tuned,Controls,path,270,2700,0.5095146102517806,0.6026916889281,0.44625198516886533,1.1237563253315466,0.24028634737537247,8
esn_shuffled_tuned,Pooled,path,360,3600,0.55267115420197,1.01262390436601,0.7063954322572481,1.1549889439016259,0.20536916827255702,8
