scope,scope_value,feature,smd,abs_smd,n_positive,n_negative
overall,all,level,0.0026689942487470035,0.0026689942487470035,1143,3429
overall,all,mean5,0.012059259715292337,0.012059259715292337,1143,3429
overall,all,mean20,0.02923781758927139,0.02923781758927139,1143,3429
overall,all,slope5,-0.0028919939773662763,0.0028919939773662763,1143,3429
overall,all,slope20,-0.017624358632063297,0.017624358632063297,1143,3429
overall,all,std20,0.02954018438929965,0.02954018438929965,1143,3429
overall,all,max20,0.038839739850918355,0.038839739850918355,1143,3429
split,test,level,0.022373725415652395,0.022373725415652395,204,612
split,test,mean5,-0.013472135702092061,0.013472135702092061,204,612
split,test,mean20,0.017849189555906735,0.017849189555906735,204,612
split,test,slope5,0.0055192124596011,0.0055192124596011,204,612
split,test,slope20,-0.027365537212558886,0.027365537212558886,204,612
split,test,std20,0.06024326439548827,0.06024326439548827,204,612
split,test,max20,0.06356454149757926,0.06356454149757926,204,612
split,train,level,-0.004798526404822218,0.004798526404822218,861,2583
split,train,mean5,0.017795694032396343,0.017795694032396343,861,2583
split,train,mean20,0.027058214563830587,0.027058214563830587,861,2583
split,train,slope5,-0.0011519596634248716,0.0011519596634248716,861,2583
split,train,slope20,-0.011325229709149101,0.011325229709149101,861,2583
split,train,std20,0.018258680569049807,0.018258680569049807,861,2583
split,train,max20,0.028278438321331076,0.028278438321331076,861,2583
split,val,level,0.030769529085314346,0.030769529085314346,78,234
split,val,mean5,0.03411772330821715,0.03411772330821715,78,234
split,val,mean20,0.0961291647403854,0.0961291647403854,78,234
split,val,slope5,-0.03879381728333418,0.03879381728333418,78,234
split,val,slope20,-0.05702186063160524,0.05702186063160524,78,234
split,val,std20,0.11594348274393522,0.11594348274393522,78,234
split,val,max20,0.09126658438059208,0.09126658438059208,78,234
