index,lead,feature,smd,n_positive,n_negative,abs_smd,stable_stratum
000001.SS_data,1,level,0.07127348860493653,12,36,0.07127348860493653,True
000001.SS_data,1,mean5,0.06038736180337271,12,36,0.06038736180337271,True
000001.SS_data,1,mean20,0.009971203217094259,12,36,0.009971203217094259,True
000001.SS_data,1,slope5,-0.056809496111652695,12,36,0.056809496111652695,True
000001.SS_data,1,slope20,0.029100509911887076,12,36,0.029100509911887076,True
000001.SS_data,1,std20,-0.06196470172252861,12,36,0.06196470172252861,True
000001.SS_data,1,max20,-0.0625609172227658,12,36,0.0625609172227658,True
000001.SS_data,5,level,0.0061031722502175876,12,36,0.0061031722502175876,True
000001.SS_data,5,mean5,-0.2154823244260483,12,36,0.2154823244260483,True
000001.SS_data,5,mean20,0.14318016698019737,12,36,0.14318016698019737,True
000001.SS_data,5,slope5,0.025974415564952634,12,36,0.025974415564952634,True
000001.SS_data,5,slope20,0.024454237017537152,12,36,0.024454237017537152,True
000001.SS_data,5,std20,-0.0539235539438022,12,36,0.0539235539438022,True
000001.SS_data,5,max20,-0.08095369731173363,12,36,0.08095369731173363,True
000001.SS_data,10,level,0.175584025596908,12,36,0.175584025596908,True
000001.SS_data,10,mean5,0.10821716108145782,12,36,0.10821716108145782,True
000001.SS_data,10,mean20,0.07124258539188362,12,36,0.07124258539188362,True
000001.SS_data,10,slope5,0.1185605063036181,12,36,0.1185605063036181,True
000001.SS_data,10,slope20,0.04446769544286123,12,36,0.04446769544286123,True
000001.SS_data,10,std20,0.05114978425150523,12,36,0.05114978425150523,True
000001.SS_data,10,max20,-0.00021645289659112167,12,36,0.00021645289659112167,True
399001.SZ_data,1,level,-0.15235877655485394,4,12,0.15235877655485394,False
399001.SZ_data,1,mean5,-0.010281155874879256,4,12,0.010281155874879256,False
399001.SZ_data,1,mean20,-0.07744602098124674,4,12,0.07744602098124674,False
399001.SZ_data,1,slope5,-0.09752515074480952,4,12,0.09752515074480952,False
399001.SZ_data,1,slope20,0.05998104450748813,4,12,0.05998104450748813,False
399001.SZ_data,1,std20,-0.025539049070085557,4,12,0.025539049070085557,False
399001.SZ_data,1,max20,0.19079003849874834,4,12,0.19079003849874834,False
399001.SZ_data,5,level,-0.09522467270807354,4,12,0.09522467270807354,False
399001.SZ_data,5,mean5,-0.052981786918584274,4,12,0.052981786918584274,False
399001.SZ_data,5,mean20,-0.15169919575768412,4,12,0.15169919575768412,False
399001.SZ_data,5,slope5,-0.04922041762219894,4,12,0.04922041762219894,False
399001.SZ_data,5,slope20,0.0894500786840217,4,12,0.0894500786840217,False
399001.SZ_data,5,std20,0.05560170594350049,4,12,0.05560170594350049,False
399001.SZ_data,5,max20,0.07804272658312905,4,12,0.07804272658312905,False
399001.SZ_data,10,level,-0.1567239493240998,4,12,0.1567239493240998,False
399001.SZ_data,10,mean5,0.021751929597237575,4,12,0.021751929597237575,False
399001.SZ_data,10,mean20,-0.0002763602045771557,4,12,0.0002763602045771557,False
399001.SZ_data,10,slope5,0.025239123431305438,4,12,0.025239123431305438,False
399001.SZ_data,10,slope20,-0.12366436694174064,4,12,0.12366436694174064,False
399001.SZ_data,10,std20,0.10482953551866214,4,12,0.10482953551866214,False
399001.SZ_data,10,max20,0.0970833709362177,4,12,0.0970833709362177,False
^AORD_data,1,level,-0.018938878810663442,16,48,0.018938878810663442,True
^AORD_data,1,mean5,-0.12530594791510288,16,48,0.12530594791510288,True
^AORD_data,1,mean20,-0.09375771399901094,16,48,0.09375771399901094,True
^AORD_data,1,slope5,-0.12263137447007841,16,48,0.12263137447007841,True
^AORD_data,1,slope20,-0.06336363265618164,16,48,0.06336363265618164,True
^AORD_data,1,std20,0.011815498515267104,16,48,0.011815498515267104,True
^AORD_data,1,max20,0.08055165884602197,16,48,0.08055165884602197,True
^AORD_data,5,level,0.026001550037602853,16,48,0.026001550037602853,True
^AORD_data,5,mean5,-0.05691168886826843,16,48,0.05691168886826843,True
^AORD_data,5,mean20,0.03517284974440261,16,48,0.03517284974440261,True
^AORD_data,5,slope5,-0.05305034204750841,16,48,0.05305034204750841,True
^AORD_data,5,slope20,-0.11779748917676275,16,48,0.11779748917676275,True
^AORD_data,5,std20,0.044573795977835846,16,48,0.044573795977835846,True
^AORD_data,5,max20,0.22937684121688676,16,48,0.22937684121688676,True
^AORD_data,10,level,0.06030234140942149,16,48,0.06030234140942149,True
^AORD_data,10,mean5,0.10249301167165616,16,48,0.10249301167165616,True
^AORD_data,10,mean20,0.10612817730142,16,48,0.10612817730142,True
^AORD_data,10,slope5,-0.07509673888834136,16,48,0.07509673888834136,True
^AORD_data,10,slope20,-0.1113430422672012,16,48,0.1113430422672012,True
^AORD_data,10,std20,0.05293164659370204,16,48,0.05293164659370204,True
^AORD_data,10,max20,0.28574127157737805,16,48,0.28574127157737805,True
^AXJO_data,1,level,0.11300865974350538,3,9,0.11300865974350538,False
^AXJO_data,1,mean5,0.15291927077315254,3,9,0.15291927077315254,False
^AXJO_data,1,mean20,-0.25790260981989926,3,9,0.25790260981989926,False
^AXJO_data,1,slope5,0.15914066701138632,3,9,0.15914066701138632,False
^AXJO_data,1,slope20,0.11729673859121083,3,9,0.11729673859121083,False
^AXJO_data,1,std20,0.08490697274845206,3,9,0.08490697274845206,False
^AXJO_data,1,max20,0.16777690663865202,3,9,0.16777690663865202,False
^AXJO_data,5,level,0.517117105751549,3,9,0.517117105751549,False
^AXJO_data,5,mean5,0.37978832792366723,3,9,0.37978832792366723,False
^AXJO_data,5,mean20,0.17674363407399343,3,9,0.17674363407399343,False
^AXJO_data,5,slope5,-0.010289930407473736,3,9,0.010289930407473736,False
^AXJO_data,5,slope20,0.02147780879966931,3,9,0.02147780879966931,False
^AXJO_data,5,std20,-0.04330073572906717,3,9,0.04330073572906717,False
^AXJO_data,5,max20,0.12846971113169328,3,9,0.12846971113169328,False
