sample_id,label,index,market_group,episode_id,split,event_onset,origin_date,lead,matched_positive_id,match_distance,level,mean5,mean20,slope5,slope20,std20,max20,target_x_h1,target_x_h2,target_x_h3,target_x_h4,target_x_h5,target_x_h6,target_x_h7,target_x_h8,target_x_h9,target_x_h10
P_GE001_^GSPC_data_L1,1,^GSPC_data,united_states,GE001,train,1966-08-18,1966-08-17,1,,,-4.592154222802248,-4.643837551473796,-4.625094269804972,0.04401952933153852,-0.005565450223858375,0.12765797441369342,-4.24922830634785,-4.321370211775778,-4.460228441462444,-4.042936732344576,-4.084492172043816,-4.339954274192848,-4.1885535667321365,-4.293712531866093,-4.107407588787805,-3.893655046050095,-4.121529967211367
P_GE001_^GSPC_data_L5,1,^GSPC_data,united_states,GE001,train,1966-08-18,1966-08-11,5,,,-4.753975343284961,-4.712088101711483,-4.643866085590384,-0.02601465354860126,-0.0019338246332157474,0.13541693699148066,-4.24922830634785,-4.66139256452848,-4.666826114574777,-4.544839512178515,-4.592154222802248,-4.321370211775778,-4.460228441462444,-4.042936732344576,-4.084492172043816,-4.339954274192848,-4.1885535667321365
P_GE001_^GSPC_data_L10,1,^GSPC_data,united_states,GE001,train,1966-08-18,1966-08-04,10,,,-4.553094523655391,-4.616483356817101,-4.646700574661766,0.03250623726231666,0.010093120388123501,0.14056313442425575,-4.24922830634785,-4.702447736127418,-4.643724316528621,-4.659477474916875,-4.800815637699544,-4.753975343284961,-4.66139256452848,-4.666826114574777,-4.544839512178515,-4.592154222802248,-4.321370211775778
P_GE002_^GSPC_data_L1,1,^GSPC_data,united_states,GE002,train,1968-04-01,1968-03-29,1,,,-4.473899460709948,-4.670066929795255,-4.5540622627377605,0.05718815199224936,-0.012748487534113005,0.1843179790819074,-4.234071033318398,-4.14320261285997,-4.3182977437455285,-3.988493185976631,-4.376047360491916,-4.439014322474654,-4.205959083023641,-4.210515362084378,-4.321425679953928,-4.369754043057382,-4.481914086542881
P_GE002_^GSPC_data_L5,1,^GSPC_data,united_states,GE002,train,1968-04-01,1968-03-25,5,,,-4.783207487599184,-4.679465871795642,-4.568480061206396,0.005481626147928608,0.0005883157974644564,0.19010911084794707,-4.234071033318398,-4.659783321257322,-4.7269265242965215,-4.706517855113301,-4.473899460709948,-4.14320261285997,-4.3182977437455285,-3.988493185976631,-4.376047360491916,-4.439014322474654,-4.205959083023641
P_GE002_^GSPC_data_L10,1,^GSPC_data,united_states,GE002,train,1968-04-01,1968-03-18,10,,,-4.327675935266325,-4.46333193810109,-4.565500695833844,0.1213487968043936,0.016559560107596686,0.17918211709227658,-4.234071033318398,-4.637561654245499,-4.842240623319894,-4.6381868986804,-4.496132695133235,-4.783207487599184,-4.659783321257322,-4.7269265242965215,-4.706517855113301,-4.473899460709948,-4.14320261285997
P_GE003_^GSPC_data_L1,1,^GSPC_data,united_states,GE003,train,1968-07-02,1968-07-01,1,,,-4.66584113178572,-4.550001290385965,-4.50333542357158,-0.03402376722064216,-0.0025014592790651774,0.1007080392698036,-4.296526979439052,-4.4178720859021645,-4.554508827406257,-4.419327514109134,-4.581543501367267,-4.324740830150056,-4.52273493661237,-4.6012354133811355,-4.573702388649253,-4.360491326797348,-4.419998980950133
P_GE003_^GSPC_data_L5,1,^GSPC_data,united_states,GE003,train,1968-07-02,1968-06-24,5,,,-4.5218811319293355,-4.471443412190061,-4.520894955593615,-0.037963750699601916,0.009121503274835295,0.11795165566858515,-4.296526979439052,-4.518095256710253,-4.473776002300617,-4.5704129292039015,-4.66584113178572,-4.4178720859021645,-4.554508827406257,-4.419327514109134,-4.581543501367267,-4.324740830150056,-4.52273493661237
P_GE003_^GSPC_data_L10,1,^GSPC_data,united_states,GE003,train,1968-07-02,1968-06-14,10,,,-4.514229368254211,-4.518027705122094,-4.549311153769599,0.04419542896246957,0.008703309326797592,0.10142657467293836,-4.303277710882081,-4.296526979439052,-4.610819457970449,-4.388240831625573,-4.5397486599858965,-4.5218811319293355,-4.518095256710253,-4.473776002300617,-4.5704129292039015,-4.66584113178572,-4.4178720859021645
P_GE004_^GSPC_data_L1,1,^GSPC_data,united_states,GE004,train,1969-07-10,1969-07-09,1,,,-4.666800553665529,-4.566634646399942,-4.531808956458471,-0.005045182405104728,-0.004394237097195164,0.08229880509679305,-4.403237500897664,-4.376431135402695,-4.461623928972833,-4.387643201321032,-4.417160283976686,-4.587772270494846,-4.578372168792023,-4.5570321998853265,-4.223415192496651,-4.3904529993388595,-4.585900060088127
P_GE004_^GSPC_data_L5,1,^GSPC_data,united_states,GE004,train,1969-07-10,1969-07-02,5,,,-4.576765194687116,-4.568597122362263,-4.549677633285368,-0.029627149981010382,0.004394889683088226,0.09860290953949301,-4.403237500897664,-4.620794174906897,-4.477638027739052,-4.491175281001117,-4.666800553665529,-4.376431135402695,-4.461623928972833,-4.387643201321032,-4.417160283976686,-4.587772270494846,-4.578372168792023
P_GE004_^GSPC_data_L10,1,^GSPC_data,united_states,GE004,train,1969-07-10,1969-06-25,10,,,-4.535110044955942,-4.482673370391989,-4.597379855923312,-0.01298310436954638,0.017982792521301267,0.13146923008507766,-4.403237500897664,-4.421260368200598,-4.683232073580902,-4.493234054924739,-4.668493920417961,-4.576765194687116,-4.620794174906897,-4.477638027739052,-4.491175281001117,-4.666800553665529,-4.376431135402695
P_GE005_^GSPC_data_L1,1,^GSPC_data,united_states,GE005,train,1970-01-16,1970-01-15,1,,,-4.544217530424075,-4.605152062737891,-4.509067716842142,0.030779662397944923,-0.014016394867797209,0.15551704806061328,-4.080136972191017,-4.26924375093774,-4.551470583610002,-4.411272446062422,-4.665031464742195,-4.539666608112344,-4.468667013961555,-4.437389518830353,-4.501698370063067,-4.39187975222666,-4.237280625565205
P_GE005_^GSPC_data_L5,1,^GSPC_data,united_states,GE005,train,1970-01-16,1970-01-09,5,,,-4.679783110567601,-4.604432026844957,-4.497532053402788,-0.0475093594535171,-0.007477413946063542,0.15437922726748116,-4.080136972191017,-4.64568796199524,-4.547049212399699,-4.609022498302839,-4.544217530424075,-4.26924375093774,-4.551470583610002,-4.411272446062422,-4.665031464742195,-4.539666608112344,-4.468667013961555
P_GE005_^GSPC_data_L10,1,^GSPC_data,united_states,GE005,train,1970-01-16,1970-01-02,10,,,-4.479236059316937,-4.509634493231711,-4.445470591966106,0.045438381449972975,-0.0026023694812940634,0.1423125667836172,-4.080136972191017,-4.504321718553581,-4.52334636534581,-4.667191763904857,-4.647517175852934,-4.679783110567601,-4.64568796199524,-4.547049212399699,-4.609022498302839,-4.544217530424075,-4.26924375093774
P_GE006_^GSPC_data_L1,1,^GSPC_data,united_states,GE006,train,1970-04-14,1970-04-13,1,,,-4.567471242161035,-4.682050428315038,-4.615910652429067,0.027031246066620312,-0.007061252642577229,0.17680512202769746,-3.9198544920041494,-4.431945829177703,-4.811647201348436,-4.4854995503784565,-4.482786097855199,-4.645617725365911,-4.523217591777627,-4.435851595242429,-4.409434158130593,-4.419344699765568,-4.224388463180608
P_GE006_^GSPC_data_L5,1,^GSPC_data,united_states,GE006,train,1970-04-14,1970-04-07,5,,,-4.679477615520333,-4.678510041386841,-4.582661308332338,0.014445096810417554,-0.0066915601701157046,0.1898335153093176,-3.9198544920041494,-4.761316913857789,-4.686969170125854,-4.715017199910179,-4.567471242161035,-4.431945829177703,-4.811647201348436,-4.4854995503784565,-4.482786097855199,-4.645617725365911,-4.523217591777627
P_GE006_^GSPC_data_L10,1,^GSPC_data,united_states,GE006,train,1970-04-14,1970-03-31,10,,,-4.726591423851392,-4.485692825682262,-4.545679016726963,-0.10175131408498889,-0.001398263513914156,0.18253033143291914,-3.9198544920041494,-4.731606431903308,-4.65891291746532,-4.7038336599181525,-4.618719582127089,-4.679477615520333,-4.761316913857789,-4.686969170125854,-4.715017199910179,-4.567471242161035,-4.431945829177703
P_GE007_^GSPC_data_L1,1,^GSPC_data,united_states,GE007,train,1973-04-24,1973-04-23,1,,,-4.666831924727235,-4.641665014930064,-4.567832909379556,0.019213181442908747,-0.008900502718053985,0.10494102863785121,-4.293946367226177,-4.4063369511748585,-4.491383811852844,-4.271413187468252,-4.267904194141477,-4.279425394732678,-4.2012513365762825,-4.445348174058947,-3.8557437606450327,-4.476913743884826,-4.684531517043673
P_GE007_^GSPC_data_L5,1,^GSPC_data,united_states,GE007,train,1973-04-24,1973-04-16,5,,,-4.695598716377074,-4.623906396176807,-4.524544356611778,-0.04539672807927342,-0.011222253983189627,0.13950264592153164,-4.253000187516579,-4.73698003593826,-4.506532592798904,-4.602381804808845,-4.666831924727235,-4.4063369511748585,-4.491383811852844,-4.271413187468252,-4.267904194141477,-4.279425394732678,-4.2012513365762825
P_GE007_^GSPC_data_L10,1,^GSPC_data,united_states,GE007,train,1973-04-24,1973-04-09,10,,,-4.293946367226177,-4.542072866502101,-4.541772646971538,0.053684511102105,0.008669695936854413,0.15187096173603276,-4.253000187516579,-4.569817305038312,-4.507797267419897,-4.636116966513647,-4.710201725535103,-4.695598716377074,-4.73698003593826,-4.506532592798904,-4.602381804808845,-4.666831924727235,-4.4063369511748585
P_GE008_^GSPC_data_L1,1,^GSPC_data,united_states,GE008,train,1973-09-14,1973-09-13,1,,,-4.604506524257779,-4.550281802071159,-4.5845779236869975,-0.005755811174098557,0.002570641299552569,0.10513386510898044,-4.350366732529819,-4.414244906509789,-4.368761455961012,-4.356577194206577,-4.1979107522646215,-4.375385529350097,-4.228440595954955,-4.419877543321968,-4.36013956724856,-4.417466565146815,-4.315459591592535
P_GE008_^GSPC_data_L5,1,^GSPC_data,united_states,GE008,train,1973-09-14,1973-09-07,5,,,-4.5590801216318395,-4.598682235315782,-4.584292648836169,0.036418998507747574,-0.0015505638283656636,0.10574104317495517,-4.350366732529819,-4.574202053915714,-4.472712950145642,-4.540907360404818,-4.604506524257779,-4.414244906509789,-4.368761455961012,-4.356577194206577,-4.1979107522646215,-4.375385529350097,-4.228440595954955
P_GE008_^GSPC_data_L10,1,^GSPC_data,united_states,GE008,train,1973-09-14,1973-08-30,10,,,-4.716635945764925,-4.5776118621018975,-4.590726854468484,-0.007426417350510775,0.0017255840773784353,0.11680424748373412,-4.350366732529819,-4.702561996870367,-4.5991993439736705,-4.610596604729784,-4.521973109373247,-4.5590801216318395,-4.574202053915714,-4.472712950145642,-4.540907360404818,-4.604506524257779,-4.414244906509789
P_GE009_^GSPC_data_L1,1,^GSPC_data,united_states,GE009,train,1974-04-23,1974-04-22,1,,,-4.70333137421281,-4.51967750581021,-4.531393278273681,-0.09170915308021978,-0.007576367248185273,0.1233104872541407,-4.2371917219040585,-4.35417885432223,-4.37212764000665,-4.357827936437811,-4.297595864779678,-4.443241672815616,-4.47578530007383,-3.859036279986701,-4.281204718012063,-4.506642222112205,-4.63398054321035
P_GE009_^GSPC_data_L5,1,^GSPC_data,united_states,GE009,train,1974-04-23,1974-04-16,5,,,-4.344910568377953,-4.560221098367795,-4.537287826461492,0.024577139550632343,-0.0013202942229570268,0.1177092504876864,-4.2371917219040585,-4.401677282258048,-4.546541102811712,-4.601927201390531,-4.70333137421281,-4.35417885432223,-4.37212764000665,-4.357827936437811,-4.297595864779678,-4.443241672815616,-4.47578530007383
P_GE009_^GSPC_data_L10,1,^GSPC_data,united_states,GE009,train,1974-04-23,1974-04-08,10,,,-4.628905861709832,-4.566330485319905,-4.49743505768191,-0.009036197145307434,-0.007344290428289267,0.11868453934141562,-4.2371917219040585,-4.523654864424411,-4.5507090143681035,-4.719404833713814,-4.662426210954691,-4.344910568377953,-4.401677282258048,-4.546541102811712,-4.601927201390531,-4.70333137421281,-4.35417885432223
P_GE010_^GSPC_data_L1,1,^GSPC_data,united_states,GE010,train,1975-07-09,1975-07-08,1,,,-4.626658978963211,-4.601297202525748,-4.487494409044659,0.000931136297555816,-0.010697079607376694,0.1266688650190341,-4.212458055540395,-4.446572445473599,-4.403356912463827,-4.440629198256113,-4.520362066102748,-4.444562389635029,-4.291990056557384,-4.340302363143672,-4.593271071500491,-4.4003856433054604,-4.406273981184729
P_GE010_^GSPC_data_L5,1,^GSPC_data,united_states,GE010,train,1975-07-09,1975-07-01,5,,,-4.592999383616783,-4.556225752574347,-4.4524987225812165,-0.037603295593244664,-0.004958732483414773,0.11339022333817687,-4.212458055540395,-4.622868478328455,-4.617721247060248,-4.5462379246600415,-4.626658978963211,-4.446572445473599,-4.403356912463827,-4.440629198256113,-4.520362066102748,-4.444562389635029,-4.291990056557384
P_GE010_^GSPC_data_L10,1,^GSPC_data,united_states,GE010,train,1975-07-09,1975-06-24,10,,,-4.403690954771728,-4.379746865735757,-4.40796108332225,0.03947517004400858,0.0009944243823567258,0.09738317601899217,-4.212458055540395,-4.49219373378393,-4.451860998958633,-4.617791991287022,-4.626282655225368,-4.592999383616783,-4.622868478328455,-4.617721247060248,-4.5462379246600415,-4.626658978963211,-4.446572445473599
P_GE011_^GSPC_data_L1,1,^GSPC_data,united_states,GE011,train,1976-01-05,1976-01-02,1,,,-4.700353464829238,-4.684254691791949,-4.626840418519452,0.03341206341533662,-0.011873355058304494,0.1377828391250872,-4.371271789038622,-4.3418203771094985,-4.452085978652814,-4.2469824217654475,-4.335111008916226,-4.55566294507928,-4.202595456553946,-4.252618021731582,-4.1361508131980305,-4.30318283539869,-4.445770419919505
P_GE011_^GSPC_data_L5,1,^GSPC_data,united_states,GE011,train,1976-01-05,1975-12-26,5,,,-4.825698438323539,-4.712651818938853,-4.607975700119753,-0.058797333076925605,-0.012897673563028149,0.1493813536499827,-4.371271789038622,-4.635234811522936,-4.708182619925867,-4.551804124358168,-4.700353464829238,-4.3418203771094985,-4.452085978652814,-4.2469824217654475,-4.335111008916226,-4.55566294507928,-4.202595456553946
