index,lead,feature,smd,n_positive,n_negative
000001.SS_data,1,level,0.08728586237943832,12,36
000001.SS_data,1,mean5,-0.0159450724032343,12,36
000001.SS_data,1,mean20,-0.08075134132787694,12,36
000001.SS_data,1,slope5,-0.03362986801273291,12,36
000001.SS_data,1,slope20,-0.020450279782630497,12,36
000001.SS_data,1,std20,-0.021937397838635905,12,36
000001.SS_data,1,max20,-0.16889046165835256,12,36
000001.SS_data,5,level,-0.010805672983691977,12,36
000001.SS_data,5,mean5,-0.23848152255083016,12,36
000001.SS_data,5,mean20,0.0023118397499095568,12,36
000001.SS_data,5,slope5,0.0358603824719167,12,36
000001.SS_data,5,slope20,0.1017634387021409,12,36
000001.SS_data,5,std20,0.028860939437913888,12,36
000001.SS_data,5,max20,-0.10208971724938473,12,36
000001.SS_data,10,level,0.10208879719029454,12,36
000001.SS_data,10,mean5,0.08828060170273708,12,36
000001.SS_data,10,mean20,0.05947268408522623,12,36
000001.SS_data,10,slope5,0.040342979957889595,12,36
000001.SS_data,10,slope20,0.054775152673357586,12,36
000001.SS_data,10,std20,0.07745701543600837,12,36
000001.SS_data,10,max20,0.007876803193634175,12,36
399001.SZ_data,1,level,-0.10189265793293427,4,12
399001.SZ_data,1,mean5,-0.027504500218272936,4,12
399001.SZ_data,1,mean20,0.0017481249380298766,4,12
399001.SZ_data,1,slope5,-0.07997618160009823,4,12
399001.SZ_data,1,slope20,0.025098564497030507,4,12
399001.SZ_data,1,std20,-0.06696853022893125,4,12
399001.SZ_data,1,max20,0.331200746850287,4,12
399001.SZ_data,5,level,-0.1001468904162568,4,12
399001.SZ_data,5,mean5,-0.07077780560047432,4,12
399001.SZ_data,5,mean20,-0.1634041957972072,4,12
399001.SZ_data,5,slope5,-0.12583369869739586,4,12
399001.SZ_data,5,slope20,0.04355883220256341,4,12
399001.SZ_data,5,std20,-0.03679453726441581,4,12
399001.SZ_data,5,max20,0.10509369197097908,4,12
399001.SZ_data,10,level,-0.14447871139101673,4,12
399001.SZ_data,10,mean5,-0.00077094829930207,4,12
399001.SZ_data,10,mean20,0.02446080973222492,4,12
399001.SZ_data,10,slope5,0.04849237863117556,4,12
399001.SZ_data,10,slope20,-0.048623995747735224,4,12
399001.SZ_data,10,std20,0.20837646712000016,4,12
399001.SZ_data,10,max20,0.06113568554313745,4,12
^AORD_data,1,level,-0.050663802535225115,16,48
^AORD_data,1,mean5,-0.09037267595289306,16,48
^AORD_data,1,mean20,-0.07153174339437635,16,48
^AORD_data,1,slope5,-0.06466998729109626,16,48
^AORD_data,1,slope20,-0.0639063316848928,16,48
^AORD_data,1,std20,-0.01996168400584391,16,48
